t              x         y          r       theta         en
0.000200   1.000000   0.000200   1.000000  0.000200   1.500000
0.000400   1.000000   0.000400   1.000000  0.000400   1.500000
0.000600   1.000000   0.000600   1.000000  0.000600   1.500000
0.000800   1.000000   0.000800   1.000000  0.000800   1.500000
0.001000   1.000000   0.001000   1.000000  0.001000   1.500000
0.001200   0.999999   0.001200   1.000000  0.001200   1.500000
0.001400   0.999999   0.001400   1.000000  0.001400   1.500000
0.001600   0.999999   0.001600   1.000000  0.001600   1.500000
0.001800   0.999999   0.001800   1.000000  0.001800   1.500000
0.002000   0.999998   0.002000   1.000000  0.002000   1.500000
0.002200   0.999998   0.002200   1.000000  0.002200   1.500000
0.002400   0.999997   0.002400   1.000000  0.002400   1.500000
0.002600   0.999997   0.002600   1.000000  0.002600   1.500000
0.002800   0.999996   0.002800   1.000000  0.002800   1.500000
0.003000   0.999996   0.003000   1.000000  0.003000   1.500000
0.003200   0.999995   0.003200   1.000000  0.003200   1.500000
0.003400   0.999995   0.003400   1.000000  0.003400   1.500000
0.003600   0.999994   0.003600   1.000000  0.003600   1.500000
0.003800   0.999993   0.003800   1.000000  0.003800   1.500000
0.004000   0.999992   0.004000   1.000000  0.004000   1.500000
0.004200   0.999992   0.004200   1.000000  0.004200   1.500000
0.004400   0.999991   0.004400   1.000000  0.004400   1.500000
0.004600   0.999990   0.004600   1.000000  0.004600   1.500000
0.004800   0.999989   0.004800   1.000000  0.004800   1.500000
0.005000   0.999988   0.005000   1.000000  0.005000   1.500000
0.005200   0.999987   0.005200   1.000001  0.005200   1.500000
0.005400   0.999986   0.005400   1.000001  0.005400   1.500000
0.005600   0.999985   0.005600   1.000001  0.005600   1.500000
0.005800   0.999984   0.005800   1.000001  0.005800   1.500000
0.006000   0.999983   0.006000   1.000001  0.006000   1.500000
0.006200   0.999981   0.006200   1.000001  0.006200   1.500000
0.006400   0.999980   0.006400   1.000001  0.006400   1.500000
0.006600   0.999979   0.006600   1.000001  0.006600   1.500000
0.006800   0.999978   0.006800   1.000001  0.006800   1.500000
0.007000   0.999976   0.007000   1.000001  0.007000   1.500000
0.007200   0.999975   0.007200   1.000001  0.007200   1.500000
0.007400   0.999973   0.007400   1.000001  0.007400   1.500000
0.007600   0.999972   0.007600   1.000001  0.007600   1.500000
0.007800   0.999970   0.007800   1.000001  0.007800   1.500000
0.008000   0.999969   0.008000   1.000001  0.008000   1.500000
0.008200   0.999967   0.008200   1.000001  0.008200   1.500000
0.008400   0.999966   0.008400   1.000001  0.008400   1.500000
0.008600   0.999964   0.008600   1.000001  0.008600   1.500000
0.008800   0.999962   0.008800   1.000001  0.008800   1.500000
0.009000   0.999960   0.009000   1.000001  0.009000   1.500000
0.009200   0.999959   0.009200   1.000001  0.009200   1.500000
0.009400   0.999957   0.009400   1.000001  0.009400   1.500000
0.009600   0.999955   0.009600   1.000001  0.009600   1.500000
0.009800   0.999953   0.009800   1.000001  0.009800   1.500000
0.010000   0.999951   0.010000   1.000001  0.010000   1.500000
0.010200   0.999949   0.010200   1.000001  0.010200   1.499999
0.010400   0.999947   0.010400   1.000001  0.010400   1.499999
0.010600   0.999945   0.010600   1.000001  0.010600   1.499999
0.010800   0.999943   0.010800   1.000001  0.010800   1.499999
0.011000   0.999941   0.011000   1.000001  0.011000   1.499999
0.011200   0.999938   0.011200   1.000001  0.011200   1.499999
0.011400   0.999936   0.011400   1.000001  0.011400   1.499999
0.011600   0.999934   0.011600   1.000001  0.011600   1.499999
0.011800   0.999932   0.011800   1.000001  0.011800   1.499999
0.012000   0.999929   0.012000   1.000001  0.012000   1.499999
0.012200   0.999927   0.012200   1.000001  0.012200   1.499999
0.012400   0.999924   0.012400   1.000001  0.012400   1.499999
0.012600   0.999922   0.012600   1.000001  0.012600   1.499999
0.012800   0.999919   0.012800   1.000001  0.012800   1.499999
0.013000   0.999917   0.013000   1.000001  0.013000   1.499999
0.013200   0.999914   0.013200   1.000001  0.013200   1.499999
0.013400   0.999912   0.013400   1.000001  0.013400   1.499999
0.013600   0.999909   0.013600   1.000001  0.013600   1.499999
0.013800   0.999906   0.013800   1.000001  0.013800   1.499999
0.014000   0.999903   0.014000   1.000001  0.014000   1.499999
0.014200   0.999901   0.014200   1.000001  0.014200   1.499999
0.014400   0.999898   0.014400   1.000001  0.014400   1.499999
0.014600   0.999895   0.014599   1.000001  0.014600   1.499999
0.014800   0.999892   0.014799   1.000001  0.014800   1.499999
0.015000   0.999889   0.014999   1.000001  0.015000   1.499999
0.015200   0.999886   0.015199   1.000002  0.015200   1.499999
0.015400   0.999883   0.015399   1.000002  0.015400   1.499999
0.015600   0.999880   0.015599   1.000002  0.015600   1.499999
0.015800   0.999877   0.015799   1.000002  0.015800   1.499999
0.016000   0.999874   0.015999   1.000002  0.016000   1.499999
0.016200   0.999870   0.016199   1.000002  0.016200   1.499999
0.016400   0.999867   0.016399   1.000002  0.016400   1.499999
0.016600   0.999864   0.016599   1.000002  0.016600   1.499999
0.016800   0.999861   0.016799   1.000002  0.016800   1.499999
0.017000   0.999857   0.016999   1.000002  0.017000   1.499999
0.017200   0.999854   0.017199   1.000002  0.017200   1.499999
0.017400   0.999850   0.017399   1.000002  0.017400   1.499999
0.017600   0.999847   0.017599   1.000002  0.017600   1.499999
0.017800   0.999843   0.017799   1.000002  0.017800   1.499999
0.018000   0.999840   0.017999   1.000002  0.018000   1.499999
0.018200   0.999836   0.018199   1.000002  0.018200   1.499999
0.018400   0.999833   0.018399   1.000002  0.018400   1.499999
0.018600   0.999829   0.018599   1.000002  0.018600   1.499999
0.018800   0.999825   0.018799   1.000002  0.018800   1.499999
0.019000   0.999821   0.018999   1.000002  0.019000   1.499999
0.019200   0.999818   0.019199   1.000002  0.019200   1.499999
0.019400   0.999814   0.019399   1.000002  0.019400   1.499999
0.019600   0.999810   0.019599   1.000002  0.019600   1.499999
0.019800   0.999806   0.019799   1.000002  0.019800   1.499999
0.020000   0.999802   0.019999   1.000002  0.020000   1.499999
0.020200   0.999798   0.020199   1.000002  0.020200   1.499999
0.020400   0.999794   0.020399   1.000002  0.020400   1.499999
0.020600   0.999790   0.020599   1.000002  0.020600   1.499999
0.020800   0.999786   0.020799   1.000002  0.020800   1.499999
0.021000   0.999782   0.020998   1.000002  0.021000   1.499999
0.021200   0.999777   0.021198   1.000002  0.021200   1.499999
0.021400   0.999773   0.021398   1.000002  0.021400   1.499999
0.021600   0.999769   0.021598   1.000002  0.021600   1.499999
0.021800   0.999765   0.021798   1.000002  0.021800   1.499999
0.022000   0.999760   0.021998   1.000002  0.022000   1.499999
0.022200   0.999756   0.022198   1.000002  0.022200   1.499999
0.022400   0.999751   0.022398   1.000002  0.022400   1.499999
