500.000000
t              x         y          r       theta       energy   ang. momentum 
0.006772   0.999977   0.004741   0.999988  0.004741   -0.755000    0.700000
0.013545   0.999908   0.009481   0.999953  0.009482   -0.755000    0.700000
0.020317   0.999794   0.014221   0.999895  0.014223   -0.755000    0.700000
0.027090   0.999633   0.018961   0.999813  0.018965   -0.755000    0.700000
0.033862   0.999427   0.023699   0.999708  0.023708   -0.755000    0.700000
0.040635   0.999174   0.028437   0.999579  0.028452   -0.755000    0.700000
0.047407   0.998876   0.033173   0.999427  0.033198   -0.755000    0.700000
0.054180   0.998532   0.037907   0.999251  0.037945   -0.755000    0.700000
0.060952   0.998142   0.042640   0.999052  0.042694   -0.755000    0.700000
0.067725   0.997706   0.047371   0.998830  0.047444   -0.755000    0.700000
0.074497   0.997224   0.052100   0.998584  0.052197   -0.755000    0.700000
0.081270   0.996697   0.056826   0.998315  0.056953   -0.755000    0.700000
0.088042   0.996123   0.061550   0.998023  0.061711   -0.755000    0.700000
0.094815   0.995503   0.066271   0.997707  0.066472   -0.755000    0.700000
0.101587   0.994838   0.070988   0.997367  0.071236   -0.755000    0.700000
0.108360   0.994126   0.075703   0.997004  0.076004   -0.755000    0.700000
0.115132   0.993368   0.080414   0.996618  0.080775   -0.755000    0.700000
0.121905   0.992565   0.085121   0.996208  0.085550   -0.755000    0.700000
0.128677   0.991715   0.089825   0.995775  0.090329   -0.755000    0.700000
0.135450   0.990819   0.094524   0.995318  0.095112   -0.755000    0.700000
0.142222   0.989877   0.099219   0.994838  0.099899   -0.755000    0.700000
0.148995   0.988889   0.103909   0.994334  0.104692   -0.755000    0.700000
0.155767   0.987855   0.108594   0.993806  0.109489   -0.755000    0.700000
0.162540   0.986775   0.113274   0.993255  0.114292   -0.755000    0.700000
0.169312   0.985649   0.117949   0.992681  0.119100   -0.755000    0.700000
0.176085   0.984476   0.122618   0.992083  0.123914   -0.755000    0.700000
0.182857   0.983257   0.127282   0.991461  0.128734   -0.755000    0.700000
0.189630   0.981992   0.131940   0.990816  0.133559   -0.755000    0.700000
0.196402   0.980680   0.136591   0.990147  0.138392   -0.755000    0.700000
0.203175   0.979323   0.141236   0.989455  0.143231   -0.755000    0.700000
0.209947   0.977918   0.145874   0.988738  0.148076   -0.755000    0.700000
0.216720   0.976468   0.150506   0.987999  0.152929   -0.755000    0.700000
0.223492   0.974971   0.155130   0.987235  0.157790   -0.755000    0.700000
0.230265   0.973427   0.159747   0.986448  0.162658   -0.755000    0.700000
0.237037   0.971837   0.164356   0.985637  0.167534   -0.755000    0.700000
0.243810   0.970201   0.168957   0.984802  0.172418   -0.755000    0.700000
0.250582   0.968517   0.173550   0.983944  0.177310   -0.755000    0.700000
0.257355   0.966788   0.178135   0.983062  0.182211   -0.755000    0.700000
0.264127   0.965011   0.182711   0.982156  0.187121   -0.755000    0.700000
0.270900   0.963188   0.187279   0.981226  0.192040   -0.755000    0.700000
0.277672   0.961318   0.191837   0.980272  0.196969   -0.755000    0.700000
