Temperature   <m^2>     error bar
0.010000    1.000000   0.000000
0.020000    1.000000   0.000000
0.030000    1.000000   0.000000
0.040000    1.000000   0.000000
0.050000    1.000000   0.000000
0.060000    1.000000   0.000000
0.070000    1.000000   0.000000
0.080000    1.000000   0.000000
0.090000    1.000000   0.000000
0.100000    1.000000   0.000000
0.110000    1.000000   0.000000
0.120000    1.000000   0.000000
0.130000    1.000000   0.000000
0.140000    1.000000   0.000000
0.150000    1.000000   0.000000
0.160000    1.000000   0.000000
0.170000    1.000000   0.000000
0.180000    1.000000   0.000000
0.190000    1.000000   0.000000
0.200000    1.000000   0.000000
0.210000    1.000000   0.000000
0.220000    1.000000   0.000000
0.230000    1.000000   0.000000
0.240000    1.000000   0.000000
0.250000    1.000000   0.000000
0.260000    1.000000   0.000000
0.270000    1.000000   0.000000
0.280000    1.000000   0.000000
0.290000    1.000000   0.000000
0.300000    1.000000   0.000000
0.310000    1.000000   0.000000
0.320000    1.000000   0.000000
0.330000    1.000000   0.000000
0.340000    1.000000   0.000000
0.350000    1.000000   0.000000
0.360000    1.000000   0.000000
0.370000    1.000000   0.000000
0.380000    1.000000   0.000000
0.390000    1.000000   0.000000
0.400000    1.000000   0.000000
0.410000    1.000000   0.000000
0.420000    1.000000   0.000000
0.430000    1.000000   0.000000
0.440000    1.000000   0.000000
0.450000    1.000000   0.000000
0.460000    1.000000   0.000000
0.470000    1.000000   0.000000
0.480000    1.000000   0.000000
0.490000    1.000000   0.000000
0.500000    1.000000   0.000000
0.510000    0.999999   0.000000
0.520000    0.999999   0.000000
0.530000    0.999999   0.000000
0.540000    0.999998   0.000000
0.550000    0.999998   0.000000
0.560000    0.999997   0.000000
0.570000    0.999997   0.000000
0.580000    0.999996   0.000000
0.590000    0.999995   0.000000
0.600000    0.999994   0.000000
0.610000    0.999992   0.000000
0.620000    0.999989   0.000000
0.630000    0.999987   0.000000
0.640000    0.999985   0.000000
0.650000    0.999983   0.000000
0.660000    0.999977   0.000000
0.670000    0.999974   0.000000
0.680000    0.999969   0.000000
0.690000    0.999963   0.000000
0.700000    0.999954   0.000001
0.710000    0.999948   0.000001
0.720000    0.999938   0.000001
0.730000    0.999930   0.000001
0.740000    0.999919   0.000001
0.750000    0.999907   0.000001
0.760000    0.999889   0.000001
0.770000    0.999872   0.000001
0.780000    0.999853   0.000001
0.790000    0.999835   0.000001
0.800000    0.999811   0.000001
0.810000    0.999788   0.000001
0.820000    0.999760   0.000001
0.830000    0.999732   0.000001
0.840000    0.999695   0.000001
0.850000    0.999661   0.000001
0.860000    0.999623   0.000002
0.870000    0.999578   0.000002
0.880000    0.999527   0.000002
0.890000    0.999480   0.000002
0.900000    0.999428   0.000002
0.910000    0.999359   0.000002
0.920000    0.999297   0.000002
0.930000    0.999219   0.000002
0.940000    0.999143   0.000002
0.950000    0.999065   0.000003
0.960000    0.998978   0.000003
0.970000    0.998885   0.000003
0.980000    0.998777   0.000003
0.990000    0.998673   0.000003
1.000000    0.998552   0.000003
1.010000    0.998421   0.000003
1.020000    0.998293   0.000003
1.030000    0.998156   0.000003
1.040000    0.997995   0.000004
1.050000    0.997846   0.000004
1.060000    0.997687   0.000004
1.070000    0.997491   0.000004
1.080000    0.997322   0.000004
1.090000    0.997099   0.000004
1.100000    0.996903   0.000005
1.110000    0.996688   0.000005
1.120000    0.996426   0.000005
1.130000    0.996179   0.000005
1.140000    0.995935   0.000005
1.150000    0.995653   0.000005
1.160000    0.995360   0.000006
1.170000    0.995094   0.000006
1.180000    0.994736   0.000006
1.190000    0.994410   0.000006
1.200000    0.994072   0.000006
1.210000    0.993683   0.000007
1.220000    0.993305   0.000007
1.230000    0.992940   0.000007
1.240000    0.992514   0.000007
1.250000    0.992042   0.000008
1.260000    0.991591   0.000008
1.270000    0.991128   0.000008
1.280000    0.990656   0.000008
1.290000    0.990121   0.000009
1.300000    0.989587   0.000009
1.310000    0.989032   0.000009
1.320000    0.988421   0.000010
1.330000    0.987824   0.000010
1.340000    0.987216   0.000010
1.350000    0.986506   0.000010
1.360000    0.985862   0.000011
1.370000    0.985126   0.000011
1.380000    0.984401   0.000011
1.390000    0.983663   0.000012
