Temperature   <m^2>     error bar
0.010000    1.000000   0.000000
0.020000    1.000000   0.000000
0.030000    1.000000   0.000000
0.040000    1.000000   0.000000
0.050000    1.000000   0.000000
0.060000    1.000000   0.000000
0.070000    1.000000   0.000000
0.080000    1.000000   0.000000
0.090000    1.000000   0.000000
0.100000    1.000000   0.000000
0.110000    1.000000   0.000000
0.120000    1.000000   0.000000
0.130000    1.000000   0.000000
0.140000    1.000000   0.000000
0.150000    1.000000   0.000000
0.160000    1.000000   0.000000
0.170000    1.000000   0.000000
0.180000    1.000000   0.000000
0.190000    1.000000   0.000000
0.200000    1.000000   0.000000
0.210000    1.000000   0.000000
0.220000    1.000000   0.000000
0.230000    1.000000   0.000000
0.240000    1.000000   0.000000
0.250000    1.000000   0.000000
0.260000    1.000000   0.000000
0.270000    1.000000   0.000000
0.280000    1.000000   0.000000
0.290000    1.000000   0.000000
0.300000    1.000000   0.000000
0.310000    1.000000   0.000000
0.320000    1.000000   0.000000
0.330000    1.000000   0.000000
0.340000    1.000000   0.000000
0.350000    1.000000   0.000000
0.360000    1.000000   0.000000
0.370000    1.000000   0.000000
0.380000    1.000000   0.000000
0.390000    1.000000   0.000000
0.400000    1.000000   0.000000
0.410000    1.000000   0.000000
0.420000    1.000000   0.000000
0.430000    1.000000   0.000000
0.440000    1.000000   0.000000
0.450000    1.000000   0.000000
0.460000    1.000000   0.000000
0.470000    1.000000   0.000000
0.480000    1.000000   0.000000
0.490000    0.999988   0.000000
0.500000    1.000000   0.000000
0.510000    1.000000   0.000000
0.520000    1.000000   0.000000
0.530000    1.000000   0.000000
0.540000    1.000000   0.000000
0.550000    1.000000   0.000000
0.560000    1.000000   0.000000
0.570000    1.000000   0.000000
0.580000    1.000000   0.000000
0.590000    1.000000   0.000000
0.600000    1.000000   0.000000
0.610000    0.999988   0.000000
0.620000    0.999988   0.000000
0.630000    1.000000   0.000000
0.640000    1.000000   0.000000
0.650000    0.999976   0.000014
0.660000    0.999988   0.000014
0.670000    1.000000   0.000000
0.680000    0.999976   0.000000
0.690000    0.999964   0.000014
0.700000    0.999928   0.000019
0.710000    0.999964   0.000000
0.720000    0.999868   0.000019
0.730000    0.999940   0.000014
0.740000    0.999940   0.000014
0.750000    0.999856   0.000019
0.760000    0.999808   0.000027
0.770000    0.999796   0.000027
0.780000    0.999844   0.000019
0.790000    0.999832   0.000014
0.800000    0.999796   0.000019
0.810000    0.999664   0.000027
0.820000    0.999784   0.000027
0.830000    0.999820   0.000024
0.840000    0.999736   0.000019
0.850000    0.999664   0.000024
0.860000    0.999772   0.000019
0.870000    0.999508   0.000033
0.880000    0.999568   0.000036
0.890000    0.999628   0.000041
0.900000    0.999531   0.000033
0.910000    0.999316   0.000054
0.920000    0.999256   0.000049
0.930000    0.999340   0.000047
0.940000    0.999089   0.000043
0.950000    0.999017   0.000061
0.960000    0.999004   0.000062
0.970000    0.999089   0.000061
0.980000    0.998920   0.000057
0.990000    0.998956   0.000047
1.000000    0.998812   0.000047
1.010000    0.998285   0.000087
1.020000    0.998212   0.000065
1.030000    0.998309   0.000063
1.040000    0.998008   0.000086
1.050000    0.997915   0.000077
1.060000    0.997661   0.000095
1.070000    0.997400   0.000081
1.080000    0.997279   0.000076
1.090000    0.997063   0.000098
1.100000    0.996990   0.000102
1.110000    0.996585   0.000104
1.120000    0.996440   0.000107
1.130000    0.996441   0.000108
1.140000    0.995700   0.000131
1.150000    0.995903   0.000122
1.160000    0.995704   0.000127
1.170000    0.995136   0.000135
1.180000    0.994770   0.000147
1.190000    0.994423   0.000152
1.200000    0.993967   0.000152
1.210000    0.993568   0.000155
1.220000    0.992985   0.000173
1.230000    0.993464   0.000152
1.240000    0.992578   0.000167
1.250000    0.992448   0.000161
1.260000    0.991649   0.000197
1.270000    0.990899   0.000180
1.280000    0.990443   0.000195
1.290000    0.990044   0.000195
1.300000    0.990158   0.000193
1.310000    0.989160   0.000204
1.320000    0.988972   0.000208
1.330000    0.987683   0.000217
1.340000    0.986588   0.000240
1.350000    0.986899   0.000247
1.360000    0.986765   0.000233
1.370000    0.985860   0.000242
1.380000    0.985783   0.000266
1.390000    0.984547   0.000235
