Temperature   <m^2>     error bar
0.010000    0.000244   0.000000
0.020000    0.000244   0.000000
0.030000    0.000244   0.000000
0.040000    0.000244   0.000000
0.050000    0.000244   0.000000
0.060000    0.000244   0.000000
0.070000    0.000244   0.000000
0.080000    0.000244   0.000000
0.090000    0.000244   0.000000
0.100000    0.000244   0.000000
0.110000    0.000244   0.000000
0.120000    0.000244   0.000000
0.130000    0.000244   0.000000
0.140000    0.000244   0.000000
0.150000    0.000244   0.000000
0.160000    0.000244   0.000000
0.170000    0.000244   0.000000
0.180000    0.000244   0.000000
0.190000    0.000244   0.000000
0.200000    0.000244   0.000000
0.210000    0.000244   0.000000
0.220000    0.000244   0.000000
0.230000    0.000244   0.000000
0.240000    0.000244   0.000000
0.250000    0.000244   0.000000
0.260000    0.000244   0.000000
0.270000    0.000244   0.000000
0.280000    0.000244   0.000000
0.290000    0.000244   0.000000
0.300000    0.000244   0.000000
0.310000    0.000244   0.000000
0.320000    0.000244   0.000000
0.330000    0.000244   0.000000
0.340000    0.000244   0.000000
0.350000    0.000244   0.000000
0.360000    0.000244   0.000000
0.370000    0.000244   0.000000
0.380000    0.000244   0.000000
0.390000    0.000244   0.000000
0.400000    0.000244   0.000000
0.410000    0.000244   0.000000
0.420000    0.000244   0.000000
0.430000    0.000244   0.000000
0.440000    0.000244   0.000000
0.450000    0.000244   0.000000
0.460000    0.000244   0.000000
0.470000    0.000244   0.000000
0.480000    0.000244   0.000000
0.490000    0.000244   0.000000
0.500000    0.000244   0.000000
0.510000    0.000244   0.000000
0.520000    0.000244   0.000000
0.530000    0.000244   0.000000
0.540000    0.000244   0.000000
0.550000    0.000244   0.000000
0.560000    0.000244   0.000000
0.570000    0.000244   0.000000
0.580000    0.000244   0.000000
0.590000    0.000244   0.000000
0.600000    0.000244   0.000000
0.610000    0.000244   0.000000
0.620000    0.000244   0.000000
0.630000    0.000244   0.000014
0.640000    0.000244   0.000014
0.650000    0.000244   0.000000
0.660000    0.000244   0.000014
0.670000    0.000244   0.000000
0.680000    0.000244   0.000000
0.690000    0.000244   0.000019
0.700000    0.000244   0.000014
0.710000    0.000244   0.000014
0.720000    0.000244   0.000014
0.730000    0.000244   0.000000
0.740000    0.000244   0.000014
0.750000    0.000244   0.000019
0.760000    0.000244   0.000014
0.770000    0.000244   0.000027
0.780000    0.000244   0.000019
0.790000    0.000244   0.000019
0.800000    0.000244   0.000030
0.810000    0.000244   0.000019
0.820000    0.000244   0.000019
0.830000    0.000244   0.000027
0.840000    0.000244   0.000036
0.850000    0.000244   0.000033
0.860000    0.000244   0.000036
0.870000    0.000244   0.000019
0.880000    0.000244   0.000033
0.890000    0.000244   0.000036
0.900000    0.000244   0.000043
0.910000    0.000244   0.000045
0.920000    0.000244   0.000043
0.930000    0.000244   0.000059
0.940000    0.000244   0.000049
0.950000    0.000244   0.000047
0.960000    0.000244   0.000051
0.970000    0.000244   0.000062
0.980000    0.000244   0.000073
0.990000    0.000244   0.000080
1.000000    0.000244   0.000049
1.010000    0.000244   0.000060
1.020000    0.000244   0.000071
1.030000    0.000244   0.000068
1.040000    0.000244   0.000070
1.050000    0.000244   0.000074
1.060000    0.000244   0.000100
1.070000    0.000243   0.000107
1.080000    0.000244   0.000075
1.090000    0.000243   0.000105
1.100000    0.000243   0.000111
1.110000    0.000243   0.000095
1.120000    0.000243   0.000122
1.130000    0.000243   0.000111
1.140000    0.000243   0.000118
1.150000    0.000243   0.000127
1.160000    0.000243   0.000122
1.170000    0.000243   0.000115
1.180000    0.000243   0.000133
1.190000    0.000243   0.000142
1.200000    0.000243   0.000127
1.210000    0.000243   0.000183
1.220000    0.000242   0.000169
1.230000    0.000242   0.000171
1.240000    0.000242   0.000150
1.250000    0.000242   0.000167
1.260000    0.000242   0.000167
1.270000    0.000242   0.000168
1.280000    0.000242   0.000189
1.290000    0.000242   0.000186
1.300000    0.000242   0.000189
1.310000    0.000242   0.000194
1.320000    0.000241   0.000210
1.330000    0.000241   0.000224
1.340000    0.000241   0.000244
1.350000    0.000241   0.000207
1.360000    0.000241   0.000203
1.370000    0.000240   0.000305
1.380000    0.000240   0.000282
1.390000    0.000240   0.000257
1.400000    0.000240   0.000275
1.410000    0.000240   0.000259
1.420000    0.000239   0.000289
1.430000    0.000239   0.000287
1.440000    0.000239   0.000314
1.450000    0.000239   0.000348
1.460000    0.000239   0.000314
1.470000    0.000239   0.000328
1.480000    0.000238   0.000328
1.490000    0.000238   0.000335
1.500000    0.000238   0.000326
1.510000    0.000237   0.000786
1.520000    0.000237   0.000387
1.530000    0.000237   0.000369
1.540000    0.000237   0.000379
1.550000    0.000236   0.000380
1.560000    0.000236   0.000402
1.570000    0.000235   0.000406
1.580000    0.000235   0.000538
1.590000    0.000235   0.000447
1.600000    0.000234   0.000500
1.610000    0.000234   0.000492
1.620000    0.000233   0.000467
1.630000    0.000234   0.000548
1.640000    0.000233   0.000541
1.650000    0.000233   0.000511
1.660000    0.000232   0.000515
1.670000    0.000232   0.000513
1.680000    0.000231   0.000571
1.690000    0.000231   0.000591
1.700000    0.000230   0.000614
1.710000    0.000230   0.000630
1.720000    0.000229   0.000643
1.730000    0.000229   0.000681
1.740000    0.000228   0.000843
1.750000    0.000226   0.001235
1.760000    0.000227   0.000689
1.770000    0.000226   0.000695
1.780000    0.000226   0.000631
1.790000    0.000225   0.000665
1.800000    0.000224   0.000725
1.810000    0.000224   0.000723
1.820000    0.000224   0.000722
1.830000    0.000221   0.000972
1.840000    0.000221   0.000810
1.850000    0.000221   0.000877
1.860000    0.000220   0.000877
1.870000    0.000220   0.000978
1.880000    0.000218   0.000904
1.890000    0.000218   0.000856
1.900000    0.000216   0.001130
1.910000    0.000215   0.001037
1.920000    0.000214   0.001118
1.930000    0.000213   0.013035
1.940000    0.000212   0.001037
1.950000    0.000211   0.011361
1.960000    0.000212   0.001097
1.970000    0.000211   0.001252
1.980000    0.000208   0.012703
1.990000    0.000207   0.001336
2.000000    0.000206   0.010922
2.010000    0.000203   0.009064
2.020000    0.000203   0.006674
2.030000    0.000201   0.004182
2.040000    0.000201   0.001335
2.050000    0.000200   0.012017
2.060000    0.000197   0.010270
2.070000    0.000194   0.002120
2.080000    0.000194   0.006354
2.090000    0.000193   0.010022
2.100000    0.000192   0.011879
2.110000    0.000188   0.009266
2.120000    0.000188   0.009890
2.130000    0.000187   0.011381
2.140000    0.000181   0.009008
2.150000    0.000184   0.011247
2.160000    0.000182   0.011131
2.170000    0.000178   0.010413
2.180000    0.000175   0.007545
2.190000    0.000175   0.011761
2.200000    0.000173   0.011645
2.210000    0.000170   0.010776
2.220000    0.000168   0.011596
2.230000    0.000165   0.010243
2.240000    0.000165   0.006953
2.250000    0.000164   0.011339
2.260000    0.000162   0.011199
2.270000    0.000157   0.010865
2.280000    0.000152   0.010581
2.290000    0.000153   0.011249
2.300000    0.000153   0.010548
2.310000    0.000148   0.010584
2.320000    0.000144   0.010770
2.330000    0.000143   0.010578
2.340000    0.000143   0.010028
2.350000    0.000139   0.010454
2.360000    0.000138   0.010379
2.370000    0.000131   0.009888
2.380000    0.000129   0.009913
2.390000    0.000126   0.010124
2.400000    0.000125   0.009661
2.410000    0.000130   0.010074
2.420000    0.000125   0.010014
2.430000    0.000120   0.009791
2.440000    0.000121   0.009144
2.450000    0.000117   0.009875
2.460000    0.000115   0.009057
2.470000    0.000112   0.009456
2.480000    0.000112   0.009528
2.490000    0.000106   0.008647
2.500000    0.000105   0.009077
2.510000    0.000105   0.008648
2.520000    0.000100   0.008763
2.530000    0.000102   0.008990
2.540000    0.000095   0.008915
2.550000    0.000094   0.009133
2.560000    0.000096   0.008575
2.570000    0.000093   0.008014
2.580000    0.000092   0.008597
2.590000    0.000094   0.008568
2.600000    0.000089   0.008487
2.610000    0.000089   0.008319
2.620000    0.000084   0.007796
2.630000    0.000079   0.007998
2.640000    0.000080   0.007785
2.650000    0.000077   0.008045
2.660000    0.000078   0.007400
2.670000    0.000072   0.007478
2.680000    0.000074   0.007718
2.690000    0.000074   0.007615
2.700000    0.000069   0.007509
2.710000    0.000066   0.006986
2.720000    0.000067   0.007482
2.730000    0.000068   0.007353
2.740000    0.000064   0.007270
2.750000    0.000066   0.007390
2.760000    0.000061   0.006847
2.770000    0.000063   0.006721
2.780000    0.000062   0.007000
2.790000    0.000061   0.006873
2.800000    0.000057   0.006968
2.810000    0.000057   0.006773
2.820000    0.000056   0.006476
2.830000    0.000057   0.006532
2.840000    0.000056   0.006443
2.850000    0.000052   0.006306
2.860000    0.000052   0.006124
2.870000    0.000048   0.005984
2.880000    0.000050   0.006400
2.890000    0.000047   0.006209
2.900000    0.000051   0.006731
2.910000    0.000047   0.005920
2.920000    0.000047   0.006312
2.930000    0.000046   0.005616
2.940000    0.000046   0.006263
2.950000    0.000045   0.005934
2.960000    0.000045   0.005963
2.970000    0.000044   0.005747
2.980000    0.000043   0.005662
2.990000    0.000042   0.005945
3.000000    0.000041   0.005700
3.010000    0.000042   0.005540
3.020000    0.000039   0.005727
3.030000    0.000040   0.005712
3.040000    0.000038   0.005414
3.050000    0.000040   0.005651
3.060000    0.000038   0.005419
3.070000    0.000037   0.005235
3.080000    0.000036   0.005157
3.090000    0.000037   0.005512
3.100000    0.000036   0.005530
3.110000    0.000034   0.005218
3.120000    0.000035   0.005620
3.130000    0.000034   0.005078
3.140000    0.000034   0.005338
3.150000    0.000033   0.005064
3.160000    0.000033   0.005075
3.170000    0.000034   0.005268
3.180000    0.000032   0.005108
3.190000    0.000032   0.005003
3.200000    0.000031   0.004995
3.210000    0.000032   0.005055
3.220000    0.000031   0.005084
3.230000    0.000031   0.004973
3.240000    0.000030   0.004995
3.250000    0.000030   0.004809
3.260000    0.000028   0.005032
3.270000    0.000029   0.004866
3.280000    0.000027   0.004699
3.290000    0.000028   0.004756
3.300000    0.000028   0.004806
3.310000    0.000027   0.004687
3.320000    0.000026   0.004581
3.330000    0.000027   0.004668
3.340000    0.000026   0.004507
3.350000    0.000027   0.004847
3.360000    0.000027   0.004683
3.370000    0.000025   0.004473
3.380000    0.000026   0.004532
3.390000    0.000025   0.004373
3.400000    0.000025   0.004533
3.410000    0.000025   0.004527
3.420000    0.000025   0.004395
3.430000    0.000024   0.004429
3.440000    0.000025   0.004306
3.450000    0.000024   0.004178
3.460000    0.000025   0.004467
3.470000    0.000025   0.004519
3.480000    0.000024   0.004298
3.490000    0.000023   0.004239
3.500000    0.000023   0.004343
3.510000    0.000022   0.004066
3.520000    0.000022   0.004102
3.530000    0.000023   0.004381
3.540000    0.000023   0.004250
3.550000    0.000022   0.004125
3.560000    0.000022   0.004179
3.570000    0.000022   0.004057
3.580000    0.000023   0.004033
3.590000    0.000022   0.004245
3.600000    0.000021   0.004017
3.610000    0.000022   0.004177
3.620000    0.000021   0.003992
3.630000    0.000021   0.004003
3.640000    0.000021   0.004181
3.650000    0.000021   0.003952
3.660000    0.000021   0.004245
3.670000    0.000020   0.004007
3.680000    0.000020   0.003858
3.690000    0.000020   0.003975
3.700000    0.000020   0.004001
3.710000    0.000020   0.003880
3.720000    0.000019   0.003940
3.730000    0.000019   0.003822
3.740000    0.000019   0.003866
3.750000    0.000019   0.003955
3.760000    0.000019   0.003942
3.770000    0.000019   0.003828
3.780000    0.000019   0.003898
3.790000    0.000018   0.003864
3.800000    0.000018   0.003706
3.810000    0.000018   0.003797
3.820000    0.000019   0.003873
3.830000    0.000019   0.003817
3.840000    0.000019   0.003900
3.850000    0.000018   0.003850
3.860000    0.000018   0.003840
3.870000    0.000017   0.003593
3.880000    0.000017   0.003646
3.890000    0.000017   0.003813
3.900000    0.000017   0.003755
3.910000    0.000017   0.003661
3.920000    0.000018   0.003701
3.930000    0.000017   0.003767
3.940000    0.000016   0.003584
3.950000    0.000016   0.003624
3.960000    0.000017   0.003588
3.970000    0.000016   0.003712
3.980000    0.000016   0.003649
3.990000    0.000016   0.003577
4.000000    0.000016   0.003721
