T = 0.271153
Normalization Constant = 24000.000000

     v        P(v)     Gaussian Fit
-3.000000   0.000000    0.000000
-2.998800   0.000000    0.000000
-2.997600   0.000000    0.000000
-2.996400   0.000000    0.000000
-2.995200   0.000000    0.000000
-2.994000   0.000000    0.000000
-2.992800   0.000000    0.000000
-2.991600   0.000000    0.000000
-2.990400   0.000000    0.000000
-2.989200   0.000000    0.000000
-2.988000   0.000000    0.000000
-2.986800   0.000000    0.000000
-2.985600   0.000000    0.000000
-2.984400   0.000000    0.000000
-2.983200   0.000000    0.000000
-2.982000   0.000000    0.000000
-2.980800   0.000000    0.000000
-2.979600   0.000000    0.000000
-2.978400   0.000000    0.000000
-2.977200   0.000000    0.000000
-2.976000   0.000000    0.000000
-2.974800   0.000000    0.000000
-2.973600   0.000000    0.000000
-2.972400   0.000000    0.000000
-2.971200   0.000000    0.000000
-2.970000   0.000000    0.000000
-2.968800   0.000000    0.000000
-2.967600   0.000000    0.000000
-2.966400   0.000000    0.000000
-2.965200   0.000000    0.000000
-2.964000   0.000000    0.000000
-2.962800   0.000000    0.000000
-2.961600   0.000000    0.000000
-2.960400   0.000000    0.000000
-2.959200   0.000000    0.000000
-2.958000   0.000000    0.000000
-2.956800   0.000000    0.000000
-2.955600   0.000000    0.000000
-2.954400   0.000000    0.000000
-2.953200   0.000000    0.000000
-2.952000   0.000000    0.000000
-2.950800   0.000000    0.000000
-2.949600   0.000000    0.000000
-2.948400   0.000000    0.000000
-2.947200   0.000000    0.000000
-2.946000   0.000000    0.000000
-2.944800   0.000000    0.000000
-2.943600   0.000000    0.000000
-2.942400   0.000000    0.000000
-2.941200   0.000000    0.000000
-2.940000   0.000000    0.000000
-2.938800   0.000000    0.000000
-2.937600   0.000000    0.000000
-2.936400   0.000000    0.000000
-2.935200   0.000000    0.000000
-2.934000   0.000000    0.000000
-2.932800   0.000000    0.000000
-2.931600   0.000000    0.000000
-2.930400   0.000000    0.000000
-2.929200   0.000000    0.000000
-2.928000   0.000000    0.000000
-2.926800   0.000000    0.000000
-2.925600   0.000000    0.000000
-2.924400   0.000000    0.000000
-2.923200   0.000000    0.000000
-2.922000   0.000000    0.000000
-2.920800   0.000000    0.000000
-2.919600   0.000000    0.000000
-2.918400   0.000000    0.000000
-2.917200   0.000000    0.000000
-2.916000   0.000000    0.000000
-2.914800   0.000000    0.000000
-2.913600   0.000000    0.000000
-2.912400   0.000000    0.000000
-2.911200   0.000000    0.000000
