T = 0.250014
Normalization Constant = 18000.000000

     v        P(v)     Gaussian Fit
-3.000000   0.000000    0.000000
-2.880000   0.000000    0.000000
-2.760000   0.000000    0.000000
-2.640000   0.000000    0.000001
-2.520000   0.000000    0.000002
-2.400000   0.000000    0.000008
-2.280000   0.000000    0.000024
-2.160000   0.000000    0.000071
-2.040000   0.000000    0.000194
-1.920000   0.000000    0.000501
-1.800000   0.000000    0.001224
-1.680000   0.000000    0.002822
-1.560000   0.000000    0.006141
-1.440000   0.000000    0.012616
-1.320000   0.000000    0.024467
-1.200000   0.000000    0.044795
-1.080000   0.117389    0.077422
-0.960000   0.316667    0.126323
-0.840000   0.365556    0.194575
-0.720000   0.408722    0.282929
-0.600000   0.401167    0.388377
-0.480000   0.455056    0.503288
-0.360000   0.590389    0.615694
-0.240000   0.552444    0.711049
-0.120000   0.959222    0.775212
0.000000   0.959667    0.797861
0.120000   0.552222    0.775212
0.240000   0.590444    0.711049
0.360000   0.454833    0.615694
0.480000   0.401222    0.503288
0.600000   0.408778    0.388377
0.720000   0.365611    0.282929
0.840000   0.316444    0.194575
0.960000   0.117500    0.126323
1.080000   0.000000    0.077422
1.200000   0.000000    0.044795
1.320000   0.000000    0.024467
1.440000   0.000000    0.012616
1.560000   0.000000    0.006141
1.680000   0.000000    0.002822
1.800000   0.000000    0.001224
1.920000   0.000000    0.000501
2.040000   0.000000    0.000194
2.160000   0.000000    0.000071
2.280000   0.000000    0.000024
2.400000   0.000000    0.000008
2.520000   0.000000    0.000002
2.640000   0.000000    0.000001
2.760000   0.000000    0.000000
2.880000   0.000000    0.000000
3.000000   0.000000    0.000000

Area under normalized velocity distribution = 1.000000
Area under gaussian distribution = 1.000000
